user,item,rating
U1,I1,4
U2,I1,1
U3,I1,4
U4,I1,5
U5,I1,4
U6,I1,3
U7,I1,1
U8,I1,5
U9,I1,2
U10,I1,1
U1,I2,1
U2,I2,4
U3,I2,3
U4,I2,2
U5,I2,
U6,I2,5
U7,I2,1
U8,I2,4
U9,I2,2
U10,I2,2
U1,I3,
U2,I3,5
U3,I3,5
U4,I3,2
U5,I3,4
U6,I3,
U7,I3,3
U8,I3,
U9,I3,5
U10,I3,
U1,I4,3
U2,I4,5
U3,I4,3
U4,I4,1
U5,I4,
U6,I4,3
U7,I4,5
U8,I4,1
U9,I4,
U10,I4,5
U1,I5,3
U2,I5,
U3,I5,1
U4,I5,2
U5,I5,5
U6,I5,1
U7,I5,3
U8,I5,3
U9,I5,1
U10,I5,
U1,I6,4
U2,I6,1
U3,I6,3
U4,I6,4
U5,I6,1
U6,I6,4
U7,I6,2
U8,I6,2
U9,I6,2
U10,I6,1
U1,I7,5
U2,I7,
U3,I7,5
U4,I7,5
U5,I7,4
U6,I7,
U7,I7,3
U8,I7,
U9,I7,2
U10,I7,4
U1,I8,3
U2,I8,3
U3,I8,5
U4,I8,
U5,I8,2
U6,I8,5
U7,I8,5
U8,I8,5
U9,I8,3
U10,I8,
U1,I9,5
U2,I9,4
U3,I9,3
U4,I9,4
U5,I9,1
U6,I9,
U7,I9,1
U8,I9,1
U9,I9,
U10,I9,5
U1,I10,
U2,I10,4
U3,I10,3
U4,I10,4
U5,I10,1
U6,I10,3
U7,I10,4
U8,I10,
U9,I10,5
U10,I10,
U1,I11,
U2,I11,3
U3,I11,3
U4,I11,1
U5,I11,
U6,I11,5
U7,I11,5
U8,I11,4
U9,I11,5
U10,I11,5
U1,I12,2
U2,I12,2
U3,I12,4
U4,I12,5
U5,I12,
U6,I12,3
U7,I12,4
U8,I12,3
U9,I12,
U10,I12,1
